fpr tpr threshold Method Boundary
0.03926399093069393 0.0327613104524181 0.2007149824857713 Bayes 8
0.0398744249929146 0.0327613104524181 0.1999130853945345 Bayes 8
0.0398744249929146 0.033073322932917315 0.1998944459054611 Bayes 8
0.040070635941485536 0.033073322932917315 0.1997182585549474 Bayes 8
0.040070635941485536 0.03338533541341654 0.1996953169492588 Bayes 8
0.04020144324053282 0.03338533541341654 0.1995584655895534 Bayes 8
0.04020144324053282 0.033697347893915756 0.199531771824359 Bayes 8
0.04061566635418256 0.033697347893915756 0.1992928652481526 Bayes 8
0.04061566635418256 0.034009360374414974 0.1992881358351796 Bayes 8
0.04089908216878502 0.034009360374414974 0.1990069941957274 Bayes 8
0.04089908216878502 0.0343213728549142 0.1989816347008313 Bayes 8
0.041051690684340184 0.0343213728549142 0.1986558765681639 Bayes 8
0.041051690684340184 0.03494539781591264 0.1986319762857197 Bayes 8
0.04122610041640323 0.03494539781591264 0.1984342819942618 Bayes 8
0.04122610041640323 0.035257410296411856 0.1984273115020824 Bayes 8
0.041378708931958406 0.035257410296411856 0.1983224864631667 Bayes 8
0.041378708931958406 0.035569422776911074 0.19830716067829 Bayes 8
0.04146591379798993 0.035569422776911074 0.1982497927114801 Bayes 8
0.04146591379798993 0.0358814352574103 0.1982436857268872 Bayes 8
0.04198914299417907 0.0358814352574103 0.1978383276185905 Bayes 8
0.04198914299417907 0.036193447737909515 0.1978368609303967 Bayes 8
0.04340622206719135 0.036193447737909515 0.1962077877032369 Bayes 8
0.04340622206719135 0.03650546021840874 0.1961996122812392 Bayes 8
0.043907650046872616 0.03650546021840874 0.1959084271469589 Bayes 8
0.043907650046872616 0.036817472698907956 0.1959071918953915 Bayes 8
0.044082059778935666 0.036817472698907956 0.1957325957084824 Bayes 8
0.044082059778935666 0.03712948517940717 0.1957239190352698 Bayes 8
0.04414746342845931 0.03712948517940717 0.195636041659491 Bayes 8
0.04414746342845931 0.0374414976599064 0.1956054735673809 Bayes 8
0.04504131330528244 0.0374414976599064 0.1947921066484385 Bayes 8
0.04504131330528244 0.037753510140405615 0.194791952317403 Bayes 8
0.04515031938782184 0.037753510140405615 0.1946584830401141 Bayes 8
0.04515031938782184 0.03806552262090484 0.1946471917862152 Bayes 8
0.04521572303734549 0.03806552262090484 0.1945250683326351 Bayes 8
0.04521572303734549 0.038377535101404056 0.1945046088323918 Bayes 8
0.045368331552900654 0.038377535101404056 0.1942823738862993 Bayes 8
0.045368331552900654 0.03868954758190327 0.1942654820016097 Bayes 8
0.04556454250147158 0.03868954758190327 0.1941004987885675 Bayes 8
0.04556454250147158 0.0390015600624025 0.1940566782199661 Bayes 8
0.04573895223353463 0.0390015600624025 0.1938647319750225 Bayes 8
0.04573895223353463 0.039313572542901715 0.1938423711673935 Bayes 8
0.04621857899670802 0.039313572542901715 0.1934417472552355 Bayes 8
0.04621857899670802 0.03962558502340094 0.1934161236459735 Bayes 8
0.04650199481131047 0.03962558502340094 0.1932058560060383 Bayes 8
0.04650199481131047 0.039937597503900156 0.1931746345099368 Bayes 8
0.04724323617257843 0.039937597503900156 0.1924995799695685 Bayes 8
0.04724323617257843 0.04024960998439937 0.1924861919217641 Bayes 8
0.047853670234799105 0.04024960998439937 0.1920558231056533 Bayes 8
0.047853670234799105 0.0405616224648986 0.1920430421578633 Bayes 8
0.04800627875035427 0.0405616224648986 0.1919114489477037 Bayes 8
0.04800627875035427 0.040873634945397815 0.1919080072252775 Bayes 8
0.04807168239987791 0.040873634945397815 0.1918416122069541 Bayes 8
0.04807168239987791 0.04118564742589704 0.1918409248018762 Bayes 8
0.04815888726590944 0.04118564742589704 0.1917488676789034 Bayes 8
0.04815888726590944 0.041497659906396256 0.1917229263110978 Bayes 8
0.04822429091543308 0.041497659906396256 0.1917099582033547 Bayes 8
0.04822429091543308 0.04180967238689547 0.1917028082259507 Bayes 8
0.04842050186400401 0.04180967238689547 0.1915686073966794 Bayes 8
0.04842050186400401 0.0421216848673947 0.191564482647902 Bayes 8
0.04874752011162223 0.0421216848673947 0.191334341470451 Bayes 8
0.04874752011162223 0.04274570982839314 0.1912492798753382 Bayes 8
0.049030935926224685 0.04274570982839314 0.1909598318257915 Bayes 8
0.049030935926224685 0.043057722308892356 0.1909425938789272 Bayes 8
0.049619568771937475 0.043057722308892356 0.1904634481386081 Bayes 8
0.049619568771937475 0.04336973478939157 0.1904536486016588 Bayes 8
0.05009919553511086 0.04336973478939157 0.1899835358264699 Bayes 8
0.05009919553511086 0.0436817472698908 0.1899640740431167 Bayes 8
0.050426213782729074 0.0436817472698908 0.1896735341737138 Bayes 8
0.050426213782729074 0.043993759750390014 0.1896581410839141 Bayes 8
0.050448014999236956 0.043993759750390014 0.1896485951080497 Bayes 8
0.050448014999236956 0.04430577223088924 0.1896188465841268 Bayes 8
0.05046981621574484 0.04430577223088924 0.1895881146224751 Bayes 8
0.05046981621574484 0.044617784711388456 0.189566231684798 Bayes 8
0.05053521986526848 0.044617784711388456 0.1895542545573434 Bayes 8
0.05053521986526848 0.04492979719188767 0.1895279210857505 Bayes 8
0.05060062351479212 0.04492979719188767 0.1894331680184786 Bayes 8
0.05060062351479212 0.0452418096723869 0.1894256633652415 Bayes 8
0.05103664784494975 0.0452418096723869 0.1889941418407577 Bayes 8
0.05103664784494975 0.045553822152886114 0.1889902925124545 Bayes 8
0.05108025027796551 0.045553822152886114 0.1889855111771989 Bayes 8
0.05108025027796551 0.04586583463338534 0.1889693621327232 Bayes 8
0.051690684340186185 0.04586583463338534 0.1885413963092854 Bayes 8
0.051690684340186185 0.046177847113884556 0.1885311431514987 Bayes 8
0.05199590137129652 0.046177847113884556 0.1881630554926618 Bayes 8
0.05199590137129652 0.04648985959438377 0.188159521923397 Bayes 8
0.05241012448494626 0.04648985959438377 0.1878183227406802 Bayes 8
0.05241012448494626 0.046801872074883 0.1878013004695391 Bayes 8
0.052562733000501426 0.046801872074883 0.1877091848831905 Bayes 8
0.052562733000501426 0.047113884555382214 0.1876967376902271 Bayes 8
